,Size_Index,BM_Ratio_Index,Momentum_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
106,5,2.0,2.0,-7.836363636363635,-0.22500000000000053,7.6113636363636346,March
107,5,2.0,3.0,-13.463636363636363,-19.266666666666666,-5.803030303030303,March
108,5,2.0,4.0,-11.863636363636363,-10.842857142857143,1.02077922077922,March
109,5,2.0,5.0,-11.4,-10.857142857142858,0.5428571428571427,March
110,5,3.0,1.0,-17.891666666666666,-10.700000000000001,7.191666666666665,March
111,5,3.0,2.0,-15.945454545454549,-15.6,0.34545454545454923,March
112,5,3.0,3.0,-8.327272727272728,-9.485714285714286,-1.1584415584415577,March
113,5,3.0,4.0,-9.50909090909091,-6.1000000000000005,3.409090909090909,March
114,5,3.0,5.0,-5.491666666666666,-6.844444444444444,-1.3527777777777779,March
115,5,4.0,1.0,-18.825,-17.73333333333333,1.0916666666666686,March
116,5,4.0,2.0,-10.154545454545454,-10.957142857142857,-0.802597402597403,March
117,5,4.0,3.0,-13.454545454545455,-13.7,-0.24545454545454426,March
118,5,4.0,4.0,-14.463636363636363,-17.842857142857145,-3.3792207792207822,March
119,5,4.0,5.0,-9.058333333333334,-10.625,-1.5666666666666664,March
120,5,5.0,1.0,-34.175,-33.65,0.5249999999999986,March
121,5,5.0,2.0,-26.99090909090909,-12.275,14.715909090909088,March
122,5,5.0,3.0,-22.358333333333334,-14.875,7.483333333333334,March
123,5,5.0,4.0,-23.15,-23.78,-0.6300000000000026,March
124,5,5.0,5.0,-16.0,-8.65,7.35,March
